GK | Vanderlei → vanderlei.jpg
RB | Victor Ferraz → victor-ferraz.jpg
CB | Pedro Geromel → pedro-geromel.jpg
CB | Kannemann → kannemann.jpg
LB | Cortez → cortez.jpg
CM | Maicon → maicon.jpg
CM | Matheus Henrique → matheus-henrique.jpg
MEI | Jean Pyerre → jean-pyerre.jpg
RW | Pepê → pepe.jpg
ST | Diego Souza → diego-souza.jpg
LW | Alisson → alisson.jpg
