GK | Manga → manga.jpg
RB | Cláudio → claudio.jpg
CB | Figueroa → figueroa.jpg
CB | Vacaria → vacaria.jpg
LB | Mauro Pastor → mauro-pastor.jpg
CM | Falcão → falcao.jpg
CM | Caçapava → cacapava.jpg
MEI | Carpegiani → carpegiani.jpg
RW | Valdomiro → valdomiro.jpg
ST | Flávio Minuano → flavio-minuano.jpg
LW | Dario → dario.jpg
