GK | Wágner → wagner.jpg
RB | Careca → careca.jpg
CB | Marcelo → marcelo.jpg
CB | Cláudio → claudio.jpg
LB | Alex → alex.jpg
CM | Marcos Aurélio → marcos-aurelio.jpg
CM | Bismarck → bismarck.jpg
MEI | Mota → mota.jpg
RW | Sérgio Negão → sergio-negao.jpg
ST | Sérgio Alves → sergio-alves.jpg
LW | Anderson → anderson.jpg
