GK | Weverton → weverton.jpg
RB | Marcos Rocha → marcos-rocha.jpg
CB | Antônio Carlos → antonio-carlos.jpg
CB | Gustavo Gómez → gustavo-gomez.jpg
LB | Diogo Barbosa → diogo-barbosa.jpg
CM | Felipe Melo → felipe-melo.jpg
CM | Bruno Henrique → bruno-henrique.jpg
MEI | Lucas Lima → lucas-lima.jpg
RW | Dudu → dudu.jpg
ST | Borja → borja.jpg
LW | Willian → willian.jpg
